id,date,store,item,day,year,month,datetime,weekday,weekday_name
150,2018-03-02,2,1,2,2018,3,2018-03-02,4,Friday
151,2018-03-03,2,1,3,2018,3,2018-03-03,5,Saturday
152,2018-03-04,2,1,4,2018,3,2018-03-04,6,Sunday
153,2018-03-05,2,1,5,2018,3,2018-03-05,0,Monday
154,2018-03-06,2,1,6,2018,3,2018-03-06,1,Tuesday
155,2018-03-07,2,1,7,2018,3,2018-03-07,2,Wednesday
156,2018-03-08,2,1,8,2018,3,2018-03-08,3,Thursday
157,2018-03-09,2,1,9,2018,3,2018-03-09,4,Friday
158,2018-03-10,2,1,10,2018,3,2018-03-10,5,Saturday
159,2018-03-11,2,1,11,2018,3,2018-03-11,6,Sunday
160,2018-03-12,2,1,12,2018,3,2018-03-12,0,Monday
161,2018-03-13,2,1,13,2018,3,2018-03-13,1,Tuesday
162,2018-03-14,2,1,14,2018,3,2018-03-14,2,Wednesday
163,2018-03-15,2,1,15,2018,3,2018-03-15,3,Thursday
164,2018-03-16,2,1,16,2018,3,2018-03-16,4,Friday
165,2018-03-17,2,1,17,2018,3,2018-03-17,5,Saturday
166,2018-03-18,2,1,18,2018,3,2018-03-18,6,Sunday
167,2018-03-19,2,1,19,2018,3,2018-03-19,0,Monday
168,2018-03-20,2,1,20,2018,3,2018-03-20,1,Tuesday
169,2018-03-21,2,1,21,2018,3,2018-03-21,2,Wednesday
170,2018-03-22,2,1,22,2018,3,2018-03-22,3,Thursday
171,2018-03-23,2,1,23,2018,3,2018-03-23,4,Friday
172,2018-03-24,2,1,24,2018,3,2018-03-24,5,Saturday
173,2018-03-25,2,1,25,2018,3,2018-03-25,6,Sunday
174,2018-03-26,2,1,26,2018,3,2018-03-26,0,Monday
175,2018-03-27,2,1,27,2018,3,2018-03-27,1,Tuesday
176,2018-03-28,2,1,28,2018,3,2018-03-28,2,Wednesday
177,2018-03-29,2,1,29,2018,3,2018-03-29,3,Thursday
178,2018-03-30,2,1,30,2018,3,2018-03-30,4,Friday
179,2018-03-31,2,1,31,2018,3,2018-03-31,5,Saturday
180,2018-01-01,3,1,1,2018,1,2018-01-01,0,Monday
181,2018-01-02,3,1,2,2018,1,2018-01-02,1,Tuesday
182,2018-01-03,3,1,3,2018,1,2018-01-03,2,Wednesday
183,2018-01-04,3,1,4,2018,1,2018-01-04,3,Thursday
184,2018-01-05,3,1,5,2018,1,2018-01-05,4,Friday
185,2018-01-06,3,1,6,2018,1,2018-01-06,5,Saturday
186,2018-01-07,3,1,7,2018,1,2018-01-07,6,Sunday
187,2018-01-08,3,1,8,2018,1,2018-01-08,0,Monday
188,2018-01-09,3,1,9,2018,1,2018-01-09,1,Tuesday
189,2018-01-10,3,1,10,2018,1,2018-01-10,2,Wednesday
190,2018-01-11,3,1,11,2018,1,2018-01-11,3,Thursday
191,2018-01-12,3,1,12,2018,1,2018-01-12,4,Friday
192,2018-01-13,3,1,13,2018,1,2018-01-13,5,Saturday
193,2018-01-14,3,1,14,2018,1,2018-01-14,6,Sunday
194,2018-01-15,3,1,15,2018,1,2018-01-15,0,Monday
195,2018-01-16,3,1,16,2018,1,2018-01-16,1,Tuesday
196,2018-01-17,3,1,17,2018,1,2018-01-17,2,Wednesday
197,2018-01-18,3,1,18,2018,1,2018-01-18,3,Thursday
198,2018-01-19,3,1,19,2018,1,2018-01-19,4,Friday
199,2018-01-20,3,1,20,2018,1,2018-01-20,5,Saturday
200,2018-01-21,3,1,21,2018,1,2018-01-21,6,Sunday
201,2018-01-22,3,1,22,2018,1,2018-01-22,0,Monday
202,2018-01-23,3,1,23,2018,1,2018-01-23,1,Tuesday
203,2018-01-24,3,1,24,2018,1,2018-01-24,2,Wednesday
204,2018-01-25,3,1,25,2018,1,2018-01-25,3,Thursday
205,2018-01-26,3,1,26,2018,1,2018-01-26,4,Friday
206,2018-01-27,3,1,27,2018,1,2018-01-27,5,Saturday
207,2018-01-28,3,1,28,2018,1,2018-01-28,6,Sunday
208,2018-01-29,3,1,29,2018,1,2018-01-29,0,Monday
209,2018-01-30,3,1,30,2018,1,2018-01-30,1,Tuesday
210,2018-01-31,3,1,31,2018,1,2018-01-31,2,Wednesday
211,2018-02-01,3,1,1,2018,2,2018-02-01,3,Thursday
212,2018-02-02,3,1,2,2018,2,2018-02-02,4,Friday
213,2018-02-03,3,1,3,2018,2,2018-02-03,5,Saturday
214,2018-02-04,3,1,4,2018,2,2018-02-04,6,Sunday
215,2018-02-05,3,1,5,2018,2,2018-02-05,0,Monday
216,2018-02-06,3,1,6,2018,2,2018-02-06,1,Tuesday
217,2018-02-07,3,1,7,2018,2,2018-02-07,2,Wednesday
218,2018-02-08,3,1,8,2018,2,2018-02-08,3,Thursday
219,2018-02-09,3,1,9,2018,2,2018-02-09,4,Friday
220,2018-02-10,3,1,10,2018,2,2018-02-10,5,Saturday
221,2018-02-11,3,1,11,2018,2,2018-02-11,6,Sunday
222,2018-02-12,3,1,12,2018,2,2018-02-12,0,Monday
223,2018-02-13,3,1,13,2018,2,2018-02-13,1,Tuesday
224,2018-02-14,3,1,14,2018,2,2018-02-14,2,Wednesday
225,2018-02-15,3,1,15,2018,2,2018-02-15,3,Thursday
226,2018-02-16,3,1,16,2018,2,2018-02-16,4,Friday
227,2018-02-17,3,1,17,2018,2,2018-02-17,5,Saturday
228,2018-02-18,3,1,18,2018,2,2018-02-18,6,Sunday
229,2018-02-19,3,1,19,2018,2,2018-02-19,0,Monday
230,2018-02-20,3,1,20,2018,2,2018-02-20,1,Tuesday
231,2018-02-21,3,1,21,2018,2,2018-02-21,2,Wednesday
232,2018-02-22,3,1,22,2018,2,2018-02-22,3,Thursday
233,2018-02-23,3,1,23,2018,2,2018-02-23,4,Friday
234,2018-02-24,3,1,24,2018,2,2018-02-24,5,Saturday
235,2018-02-25,3,1,25,2018,2,2018-02-25,6,Sunday
236,2018-02-26,3,1,26,2018,2,2018-02-26,0,Monday
237,2018-02-27,3,1,27,2018,2,2018-02-27,1,Tuesday
238,2018-02-28,3,1,28,2018,2,2018-02-28,2,Wednesday
239,2018-03-01,3,1,1,2018,3,2018-03-01,3,Thursday
240,2018-03-02,3,1,2,2018,3,2018-03-02,4,Friday
241,2018-03-03,3,1,3,2018,3,2018-03-03,5,Saturday
242,2018-03-04,3,1,4,2018,3,2018-03-04,6,Sunday
243,2018-03-05,3,1,5,2018,3,2018-03-05,0,Monday
244,2018-03-06,3,1,6,2018,3,2018-03-06,1,Tuesday
245,2018-03-07,3,1,7,2018,3,2018-03-07,2,Wednesday
246,2018-03-08,3,1,8,2018,3,2018-03-08,3,Thursday
247,2018-03-09,3,1,9,2018,3,2018-03-09,4,Friday
248,2018-03-10,3,1,10,2018,3,2018-03-10,5,Saturday
249,2018-03-11,3,1,11,2018,3,2018-03-11,6,Sunday
250,2018-03-12,3,1,12,2018,3,2018-03-12,0,Monday
251,2018-03-13,3,1,13,2018,3,2018-03-13,1,Tuesday
252,2018-03-14,3,1,14,2018,3,2018-03-14,2,Wednesday
253,2018-03-15,3,1,15,2018,3,2018-03-15,3,Thursday
254,2018-03-16,3,1,16,2018,3,2018-03-16,4,Friday
255,2018-03-17,3,1,17,2018,3,2018-03-17,5,Saturday
256,2018-03-18,3,1,18,2018,3,2018-03-18,6,Sunday
257,2018-03-19,3,1,19,2018,3,2018-03-19,0,Monday
258,2018-03-20,3,1,20,2018,3,2018-03-20,1,Tuesday
259,2018-03-21,3,1,21,2018,3,2018-03-21,2,Wednesday
260,2018-03-22,3,1,22,2018,3,2018-03-22,3,Thursday
261,2018-03-23,3,1,23,2018,3,2018-03-23,4,Friday
262,2018-03-24,3,1,24,2018,3,2018-03-24,5,Saturday
263,2018-03-25,3,1,25,2018,3,2018-03-25,6,Sunday
264,2018-03-26,3,1,26,2018,3,2018-03-26,0,Monday
265,2018-03-27,3,1,27,2018,3,2018-03-27,1,Tuesday
266,2018-03-28,3,1,28,2018,3,2018-03-28,2,Wednesday
267,2018-03-29,3,1,29,2018,3,2018-03-29,3,Thursday
268,2018-03-30,3,1,30,2018,3,2018-03-30,4,Friday
269,2018-03-31,3,1,31,2018,3,2018-03-31,5,Saturday
270,2018-01-01,4,1,1,2018,1,2018-01-01,0,Monday
271,2018-01-02,4,1,2,2018,1,2018-01-02,1,Tuesday
272,2018-01-03,4,1,3,2018,1,2018-01-03,2,Wednesday
273,2018-01-04,4,1,4,2018,1,2018-01-04,3,Thursday
274,2018-01-05,4,1,5,2018,1,2018-01-05,4,Friday
275,2018-01-06,4,1,6,2018,1,2018-01-06,5,Saturday
276,2018-01-07,4,1,7,2018,1,2018-01-07,6,Sunday
277,2018-01-08,4,1,8,2018,1,2018-01-08,0,Monday
278,2018-01-09,4,1,9,2018,1,2018-01-09,1,Tuesday
279,2018-01-10,4,1,10,2018,1,2018-01-10,2,Wednesday
280,2018-01-11,4,1,11,2018,1,2018-01-11,3,Thursday
281,2018-01-12,4,1,12,2018,1,2018-01-12,4,Friday
282,2018-01-13,4,1,13,2018,1,2018-01-13,5,Saturday
283,2018-01-14,4,1,14,2018,1,2018-01-14,6,Sunday
284,2018-01-15,4,1,15,2018,1,2018-01-15,0,Monday
285,2018-01-16,4,1,16,2018,1,2018-01-16,1,Tuesday
286,2018-01-17,4,1,17,2018,1,2018-01-17,2,Wednesday
287,2018-01-18,4,1,18,2018,1,2018-01-18,3,Thursday
288,2018-01-19,4,1,19,2018,1,2018-01-19,4,Friday
289,2018-01-20,4,1,20,2018,1,2018-01-20,5,Saturday
290,2018-01-21,4,1,21,2018,1,2018-01-21,6,Sunday
291,2018-01-22,4,1,22,2018,1,2018-01-22,0,Monday
292,2018-01-23,4,1,23,2018,1,2018-01-23,1,Tuesday
293,2018-01-24,4,1,24,2018,1,2018-01-24,2,Wednesday
294,2018-01-25,4,1,25,2018,1,2018-01-25,3,Thursday
295,2018-01-26,4,1,26,2018,1,2018-01-26,4,Friday
296,2018-01-27,4,1,27,2018,1,2018-01-27,5,Saturday
297,2018-01-28,4,1,28,2018,1,2018-01-28,6,Sunday
298,2018-01-29,4,1,29,2018,1,2018-01-29,0,Monday
299,2018-01-30,4,1,30,2018,1,2018-01-30,1,Tuesday
300,2018-01-31,4,1,31,2018,1,2018-01-31,2,Wednesday
301,2018-02-01,4,1,1,2018,2,2018-02-01,3,Thursday
302,2018-02-02,4,1,2,2018,2,2018-02-02,4,Friday
303,2018-02-03,4,1,3,2018,2,2018-02-03,5,Saturday
304,2018-02-04,4,1,4,2018,2,2018-02-04,6,Sunday
305,2018-02-05,4,1,5,2018,2,2018-02-05,0,Monday
306,2018-02-06,4,1,6,2018,2,2018-02-06,1,Tuesday
307,2018-02-07,4,1,7,2018,2,2018-02-07,2,Wednesday
308,2018-02-08,4,1,8,2018,2,2018-02-08,3,Thursday
309,2018-02-09,4,1,9,2018,2,2018-02-09,4,Friday
310,2018-02-10,4,1,10,2018,2,2018-02-10,5,Saturday
311,2018-02-11,4,1,11,2018,2,2018-02-11,6,Sunday
312,2018-02-12,4,1,12,2018,2,2018-02-12,0,Monday
313,2018-02-13,4,1,13,2018,2,2018-02-13,1,Tuesday
314,2018-02-14,4,1,14,2018,2,2018-02-14,2,Wednesday
315,2018-02-15,4,1,15,2018,2,2018-02-15,3,Thursday
316,2018-02-16,4,1,16,2018,2,2018-02-16,4,Friday
317,2018-02-17,4,1,17,2018,2,2018-02-17,5,Saturday
318,2018-02-18,4,1,18,2018,2,2018-02-18,6,Sunday
319,2018-02-19,4,1,19,2018,2,2018-02-19,0,Monday
320,2018-02-20,4,1,20,2018,2,2018-02-20,1,Tuesday
321,2018-02-21,4,1,21,2018,2,2018-02-21,2,Wednesday
322,2018-02-22,4,1,22,2018,2,2018-02-22,3,Thursday
323,2018-02-23,4,1,23,2018,2,2018-02-23,4,Friday
324,2018-02-24,4,1,24,2018,2,2018-02-24,5,Saturday
325,2018-02-25,4,1,25,2018,2,2018-02-25,6,Sunday
326,2018-02-26,4,1,26,2018,2,2018-02-26,0,Monday
327,2018-02-27,4,1,27,2018,2,2018-02-27,1,Tuesday
328,2018-02-28,4,1,28,2018,2,2018-02-28,2,Wednesday
329,2018-03-01,4,1,1,2018,3,2018-03-01,3,Thursday
330,2018-03-02,4,1,2,2018,3,2018-03-02,4,Friday
331,2018-03-03,4,1,3,2018,3,2018-03-03,5,Saturday
332,2018-03-04,4,1,4,2018,3,2018-03-04,6,Sunday
333,2018-03-05,4,1,5,2018,3,2018-03-05,0,Monday
334,2018-03-06,4,1,6,2018,3,2018-03-06,1,Tuesday
335,2018-03-07,4,1,7,2018,3,2018-03-07,2,Wednesday
336,2018-03-08,4,1,8,2018,3,2018-03-08,3,Thursday
337,2018-03-09,4,1,9,2018,3,2018-03-09,4,Friday
338,2018-03-10,4,1,10,2018,3,2018-03-10,5,Saturday
339,2018-03-11,4,1,11,2018,3,2018-03-11,6,Sunday
340,2018-03-12,4,1,12,2018,3,2018-03-12,0,Monday
341,2018-03-13,4,1,13,2018,3,2018-03-13,1,Tuesday
342,2018-03-14,4,1,14,2018,3,2018-03-14,2,Wednesday
343,2018-03-15,4,1,15,2018,3,2018-03-15,3,Thursday
344,2018-03-16,4,1,16,2018,3,2018-03-16,4,Friday
345,2018-03-17,4,1,17,2018,3,2018-03-17,5,Saturday
346,2018-03-18,4,1,18,2018,3,2018-03-18,6,Sunday
347,2018-03-19,4,1,19,2018,3,2018-03-19,0,Monday
348,2018-03-20,4,1,20,2018,3,2018-03-20,1,Tuesday
349,2018-03-21,4,1,21,2018,3,2018-03-21,2,Wednesday
350,2018-03-22,4,1,22,2018,3,2018-03-22,3,Thursday
351,2018-03-23,4,1,23,2018,3,2018-03-23,4,Friday
352,2018-03-24,4,1,24,2018,3,2018-03-24,5,Saturday
353,2018-03-25,4,1,25,2018,3,2018-03-25,6,Sunday
354,2018-03-26,4,1,26,2018,3,2018-03-26,0,Monday
355,2018-03-27,4,1,27,2018,3,2018-03-27,1,Tuesday
356,2018-03-28,4,1,28,2018,3,2018-03-28,2,Wednesday
357,2018-03-29,4,1,29,2018,3,2018-03-29,3,Thursday
358,2018-03-30,4,1,30,2018,3,2018-03-30,4,Friday
359,2018-03-31,4,1,31,2018,3,2018-03-31,5,Saturday
360,2018-01-01,5,1,1,2018,1,2018-01-01,0,Monday
361,2018-01-02,5,1,2,2018,1,2018-01-02,1,Tuesday
362,2018-01-03,5,1,3,2018,1,2018-01-03,2,Wednesday
363,2018-01-04,5,1,4,2018,1,2018-01-04,3,Thursday
364,2018-01-05,5,1,5,2018,1,2018-01-05,4,Friday
365,2018-01-06,5,1,6,2018,1,2018-01-06,5,Saturday
366,2018-01-07,5,1,7,2018,1,2018-01-07,6,Sunday
367,2018-01-08,5,1,8,2018,1,2018-01-08,0,Monday
368,2018-01-09,5,1,9,2018,1,2018-01-09,1,Tuesday
369,2018-01-10,5,1,10,2018,1,2018-01-10,2,Wednesday
370,2018-01-11,5,1,11,2018,1,2018-01-11,3,Thursday
371,2018-01-12,5,1,12,2018,1,2018-01-12,4,Friday
372,2018-01-13,5,1,13,2018,1,2018-01-13,5,Saturday
373,2018-01-14,5,1,14,2018,1,2018-01-14,6,Sunday
374,2018-01-15,5,1,15,2018,1,2018-01-15,0,Monday
375,2018-01-16,5,1,16,2018,1,2018-01-16,1,Tuesday
376,2018-01-17,5,1,17,2018,1,2018-01-17,2,Wednesday
377,2018-01-18,5,1,18,2018,1,2018-01-18,3,Thursday
378,2018-01-19,5,1,19,2018,1,2018-01-19,4,Friday
379,2018-01-20,5,1,20,2018,1,2018-01-20,5,Saturday
380,2018-01-21,5,1,21,2018,1,2018-01-21,6,Sunday
381,2018-01-22,5,1,22,2018,1,2018-01-22,0,Monday
382,2018-01-23,5,1,23,2018,1,2018-01-23,1,Tuesday
383,2018-01-24,5,1,24,2018,1,2018-01-24,2,Wednesday
384,2018-01-25,5,1,25,2018,1,2018-01-25,3,Thursday
385,2018-01-26,5,1,26,2018,1,2018-01-26,4,Friday
386,2018-01-27,5,1,27,2018,1,2018-01-27,5,Saturday
387,2018-01-28,5,1,28,2018,1,2018-01-28,6,Sunday
388,2018-01-29,5,1,29,2018,1,2018-01-29,0,Monday
389,2018-01-30,5,1,30,2018,1,2018-01-30,1,Tuesday
390,2018-01-31,5,1,31,2018,1,2018-01-31,2,Wednesday
391,2018-02-01,5,1,1,2018,2,2018-02-01,3,Thursday
392,2018-02-02,5,1,2,2018,2,2018-02-02,4,Friday
393,2018-02-03,5,1,3,2018,2,2018-02-03,5,Saturday
394,2018-02-04,5,1,4,2018,2,2018-02-04,6,Sunday
395,2018-02-05,5,1,5,2018,2,2018-02-05,0,Monday
396,2018-02-06,5,1,6,2018,2,2018-02-06,1,Tuesday
397,2018-02-07,5,1,7,2018,2,2018-02-07,2,Wednesday
398,2018-02-08,5,1,8,2018,2,2018-02-08,3,Thursday
399,2018-02-09,5,1,9,2018,2,2018-02-09,4,Friday
400,2018-02-10,5,1,10,2018,2,2018-02-10,5,Saturday
401,2018-02-11,5,1,11,2018,2,2018-02-11,6,Sunday
402,2018-02-12,5,1,12,2018,2,2018-02-12,0,Monday
403,2018-02-13,5,1,13,2018,2,2018-02-13,1,Tuesday
404,2018-02-14,5,1,14,2018,2,2018-02-14,2,Wednesday
405,2018-02-15,5,1,15,2018,2,2018-02-15,3,Thursday
406,2018-02-16,5,1,16,2018,2,2018-02-16,4,Friday
407,2018-02-17,5,1,17,2018,2,2018-02-17,5,Saturday
408,2018-02-18,5,1,18,2018,2,2018-02-18,6,Sunday
409,2018-02-19,5,1,19,2018,2,2018-02-19,0,Monday
